Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,Quarter,TransactionType,TradeAmount,PartyName,Sector,Industry
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Healthcare,Drug Manufacturers - General
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,CAH,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Healthcare,Medical Distribution
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,DLR,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Real Estate,REIT - Specialty
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,UPS,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Industrials,Integrated Freight & Logistics
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Communication Services,Internet Content & Information
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Technology,Semiconductors
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,AMAT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Technology,Semiconductor Equipment & Materials
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,BX,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Financial Services,Asset Management
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,CAT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Industrials,Farm & Heavy Construction Machinery
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,AAPL,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Technology,Consumer Electronics
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,KMI,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Energy,Oil & Gas Midstream
Susie Lee,L000590,3/14/2025,3/12/2025,FLL,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats,Consumer Cyclical,Resorts & Casinos
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,GS,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Financial Services,Capital Markets
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Technology,Software - Infrastructure
Rob Bresnahan,B001327,3/27/2025,3/7/2025,INTU,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Technology,Software - Application
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,DG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Consumer Defensive,Discount Stores
Mikie Sherrill,S001207,3/10/2025,3/7/2025,UBS,Sale,"$250,001 - $500,000",Representatives,250001,D,2025-Q1,sale,500000,Democrats,Financial Services,Banks - Diversified
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,TSLA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans,Consumer Cyclical,Auto Manufacturers
