Industry,TotalInvestment,UniquePoliticians,UniqueStocks
Software - Infrastructure,29215000,17,20
Internet Content & Information,5915000,11,8
Insurance Brokers,5190000,4,3
Semiconductors,3150000,15,18
Recreational Vehicles,2400000,2,2
Oil & Gas Midstream,1995000,3,3
Auto Manufacturers,1400000,6,3
Software - Application,1240000,9,23
Internet Retail,1170000,11,5
Drug Manufacturers - General,1120000,11,8
Utilities - Independent Power Producers,1030000,3,2
Aerospace & Defense,800000,11,13
Banks - Diversified,680000,7,5
Beverages - Non-Alcoholic,580000,8,6
Healthcare Plans,545000,6,6
Specialty Industrial Machinery,490000,11,13
Information Technology Services,475000,11,9
Capital Markets,470000,6,6
Semiconductor Equipment & Materials,465000,9,7
Railroads,445000,8,5
Diagnostics & Research,425000,5,9
Credit Services,390000,6,6
Engineering & Construction,385000,5,7
Packaged Foods,385000,5,8
Medical Devices,350000,10,8
Discount Stores,340000,9,5
Asset Management,315000,8,5
Computer Hardware,295000,6,5
Specialty Chemicals,290000,4,6
Utilities - Regulated Electric,265000,6,7
Biotechnology,265000,6,9
Farm & Heavy Construction Machinery,240000,3,3
Oil & Gas E&P,240000,4,4
Home Improvement Retail,225000,6,2
Medical Instruments & Supplies,225000,6,8
Resorts & Casinos,215000,2,2
Scientific & Technical Instruments,210000,4,4
REIT - Specialty,205000,5,6
Banks - Regional,205000,5,7
Oil & Gas Integrated,195000,4,3
Household & Personal Products,190000,6,4
Residential Construction,175000,3,5
Industrial Distribution,175000,5,4
Telecom Services,170000,8,5
Consumer Electronics,170000,5,1
Entertainment,170000,7,4
Insurance - Property & Casualty,150000,3,3
Health Information Services,130000,2,3
Apparel Retail,130000,3,2
Beverages - Brewers,125000,4,2
Integrated Freight & Logistics,125000,3,1
Building Products & Equipment,120000,4,5
Specialty Retail,115000,3,2
Electrical Equipment & Parts,115000,2,3
Education & Training Services,115000,1,1
"Furnishings, Fixtures & Appliances",105000,2,2
Drug Manufacturers - Specialty & Generic,105000,3,4
Confectioners,105000,6,2
Consulting Services,105000,4,3
Communication Equipment,90000,4,3
Electronic Gaming & Multimedia,90000,2,2
Oil & Gas Equipment & Services,80000,2,2
Real Estate Services,80000,3,1
Conglomerates,80000,2,2
Financial Data & Stock Exchanges,75000,3,3
Travel Services,75000,4,3
Restaurants,75000,4,4
Medical Distribution,75000,3,2
Beverages - Wineries & Distilleries,65000,2,2
REIT - Industrial,65000,2,2
REIT - Residential,65000,1,2
Insurance - Diversified,65000,2,1
Insurance - Life,65000,2,2
Utilities - Diversified,60000,2,3
Packaging & Containers,60000,2,4
Electronic Components,60000,2,3
Gold,50000,1,1
REIT - Retail,50000,1,1
Tobacco,50000,1,1
Solar,45000,2,2
Trucking,45000,2,2
Waste Management,45000,2,1
Rental & Leasing Services,45000,1,2
Copper,45000,3,2
Pharmaceutical Retailers,45000,2,1
Auto Parts,30000,1,2
Airlines,30000,1,1
Utilities - Regulated Gas,30000,1,1
Utilities - Renewable,30000,2,1
Gambling,30000,2,1
Footwear & Accessories,30000,2,2
Medical Care Facilities,30000,2,2
Metal Fabrication,30000,1,1
Specialty Business Services,30000,2,2
Auto & Truck Dealerships,15000,1,1
Food Distribution,15000,1,1
Chemicals,15000,1,1
Oil & Gas Refining & Marketing,15000,1,1
Leisure,15000,1,1
REIT - Office,15000,1,1
Paper & Paper Products,15000,1,1
Tools & Accessories,15000,1,1
Thermal Coal,15000,1,1
