Representative,PartyName,BuyVolume,SellVolume,TotalVolume,NetPurchases
A. Mitchell Jr. McConnell,Republicans,15000.0,0.0,15000.0,15000.0
April Mcclain Delaney,Democrats,320000.0,375000.0,695000.0,-55000.0
Ashley B. Moody,Republicans,450000.0,100000.0,550000.0,350000.0
August Lee Pfluger Ii,Republicans,0.0,15000.0,15000.0,-15000.0
Brad Knott,Republicans,30000.0,50000.0,80000.0,-20000.0
Byron Donalds,Republicans,165000.0,150000.0,315000.0,15000.0
Cleo Fields,Democrats,0.0,1000000.0,1000000.0,-1000000.0
David H. McCormick,Republicans,150000.0,5000000.0,5150000.0,-4850000.0
Debbie Dingell,Democrats,15000.0,0.0,15000.0,15000.0
Debbie Wasserman Schultz,Democrats,0.0,15000.0,15000.0,-15000.0
Emily Randall,Democrats,0.0,165000.0,165000.0,-165000.0
Gerald E. Connolly,Democrats,0.0,45000.0,45000.0,-45000.0
Gilbert Cisneros,Democrats,875000.0,675000.0,1550000.0,200000.0
Greg Landsman,Democrats,95000.0,75000.0,170000.0,20000.0
Jake Auchincloss,Democrats,0.0,50000.0,50000.0,-50000.0
James Comer,Republicans,420000.0,15000.0,435000.0,405000.0
James E. Banks,Republicans,0.0,15000.0,15000.0,-15000.0
James French Hill,Republicans,0.0,50000.0,50000.0,-50000.0
Jared Moskowitz,Democrats,135000.0,135000.0,270000.0,0.0
Jefferson Shreve,Republicans,2100000.0,1680000.0,3780000.0,420000.0
John Boozman,Republicans,315000.0,240000.0,555000.0,75000.0
Josh Gottheimer,Democrats,16840000.0,12630000.0,29470000.0,4210000.0
Julie Johnson,Democrats,795000.0,725000.0,1520000.0,70000.0
Lloyd Doggett,Democrats,15000.0,0.0,15000.0,15000.0
Marco Rubio,Republicans,0.0,30000.0,30000.0,-30000.0
Marjorie Taylor Greene,Republicans,1205000.0,0.0,1205000.0,1205000.0
Mark Dr Green,Republicans,0.0,1950000.0,1950000.0,-1950000.0
Markwayne Mullin,Republicans,1700000.0,615000.0,2315000.0,1085000.0
Mikie Sherrill,Democrats,0.0,500000.0,500000.0,-500000.0
Nancy Pelosi,Democrats,2600000.0,0.0,2600000.0,2600000.0
Richard W. Allen,Republicans,50000.0,0.0,50000.0,50000.0
Rick Larsen,Democrats,60000.0,60000.0,120000.0,0.0
Rob Bresnahan,Republicans,1535000.0,2865000.0,4400000.0,-1330000.0
Robert E. Latta,Republicans,15000.0,0.0,15000.0,15000.0
Ron Wyden,Democrats,100000.0,130000.0,230000.0,-30000.0
Scott Scott Franklin,Republicans,210000.0,5180000.0,5390000.0,-4970000.0
Sheldon Whitehouse,Democrats,0.0,50000.0,50000.0,-50000.0
Shelley Moore Capito,Republicans,15000.0,240000.0,255000.0,-225000.0
Susie Lee,Democrats,0.0,200000.0,200000.0,-200000.0
Thomas H. Kean Jr,Republicans,75000.0,80000.0,155000.0,-5000.0
Tim Moore,Republicans,1500000.0,1915000.0,3415000.0,-415000.0
Tina Smith,Democrats,0.0,500000.0,500000.0,-500000.0
Tommy Tuberville,Republicans,0.0,265000.0,265000.0,-265000.0
Victoria Spartz,Republicans,50000.0,0.0,50000.0,50000.0
Virginia Foxx,Republicans,30000.0,0.0,30000.0,30000.0
William R. Keating,Democrats,120000.0,45000.0,165000.0,75000.0
