Quarter,TransactionDate,Representative,PartyName,Ticker,TransactionType,Range,TradeAmount,EntryPrice,ExitPrice,PercentChange,WeightedTradeReturn
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,ABBV,purchase,"$1,001 - $15,000",15000.0,212.22000122070312,202.72000122070312,-4.476486639032791,-0.002202634068738457
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,CAH,purchase,"$1,001 - $15,000",15000.0,127.58999633789062,136.64999389648438,7.100868264468463,0.0034939486293923882
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,DLR,purchase,"$1,001 - $15,000",15000.0,148.05999755859375,144.9499969482422,-2.1005002442478093,-0.0010335412059608706
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,UPS,purchase,"$1,001 - $15,000",15000.0,117.0,111.01000213623048,-5.119656293820112,-0.002519102654003664
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,GOOG,purchase,"$1,001 - $15,000",15000.0,167.3249969482422,164.0800018310547,-1.9393367257560796,-0.0009542414592862455
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,NVDA,purchase,"$1,001 - $15,000",15000.0,122.73999786376952,111.43000030517578,-9.214598138698715,-0.004533999412185689
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,AMAT,purchase,"$1,001 - $15,000",15000.0,152.9499969482422,147.67999267578125,-3.4455733099780907,-0.0016953780432892034
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,BX,purchase,"$1,001 - $15,000",15000.0,141.1199951171875,144.5,2.395128259468624,0.001178511526719021
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,CAT,purchase,"$1,001 - $15,000",15000.0,339.739990234375,339.29998779296875,-0.1295115247112085,-6.372553290694202e-05
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,AAPL,purchase,"$1,001 - $15,000",15000.0,213.30999755859372,223.8500061035156,4.941169502393651,0.002431279072852379
