Quarter,PartyName,Representative,PercentChange,PercentChange,TradeAmount,WeightedTradeReturn
,,,count,mean,sum,sum
2024-Q4,Democrats,Debbie Wasserman Schultz,4,-3.02,60000.0,-0.0
2024-Q4,Democrats,Earl Blumenauer,1,3.36,15000.0,0.0
2024-Q4,Democrats,Gary Peters,3,-24.54,45000.0,-0.01
2024-Q4,Democrats,Gerald E. Connolly,2,20.14,30000.0,0.01
2024-Q4,Democrats,Greg Landsman,17,0.62,465000.0,0.0
2024-Q4,Democrats,Jake Auchincloss,1,2.99,50000.0,0.0
2024-Q4,Democrats,Jared Moskowitz,39,-3.17,740000.0,-0.01
2024-Q4,Democrats,Jonathan Jackson,11,3.74,480000.0,0.01
2024-Q4,Democrats,Josh Gottheimer,139,-1.63,71945000.0,-0.03
2024-Q4,Democrats,Lloyd Doggett,7,1.03,105000.0,0.0
2024-Q4,Democrats,Morgan Mcgarvey,14,8.82,245000.0,0.02
2024-Q4,Democrats,Nancy Pelosi,4,2.46,36000000.0,2.97
2024-Q4,Democrats,Sheldon Whitehouse,18,6.0,680000.0,0.02
2024-Q4,Democrats,Steve Cohen,1,43.9,15000.0,0.01
2024-Q4,Democrats,Thomas R. Suozzi,7,-4.79,210000.0,-0.0
2024-Q4,Democrats,Tina Smith,1,-16.46,100000.0,-0.01
2024-Q4,Democrats,William R. Keating,5,5.59,75000.0,0.0
2024-Q4,Republicans,A. Mitchell Jr. McConnell,1,-5.61,15000.0,-0.01
2024-Q4,Republicans,Bill Hagerty,1,-4.73,15000.0,-0.01
2024-Q4,Republicans,Byron Donalds,8,8.34,120000.0,0.12
2024-Q4,Republicans,John Boozman,8,-2.35,120000.0,-0.03
2024-Q4,Republicans,Kevin Hern,9,-3.9,1380000.0,-1.32
2024-Q4,Republicans,Lance Gooden,1,14.51,100000.0,0.17
2024-Q4,Republicans,Laurel Lee,5,-4.09,180000.0,-0.04
2024-Q4,Republicans,Maria Elvira Salazar,3,6.85,115000.0,-0.06
2024-Q4,Republicans,Marjorie Taylor Mrs Greene,75,-3.29,1125000.0,-0.44
2024-Q4,Republicans,Mark Dr Green,3,-6.39,250000.0,-0.23
2024-Q4,Republicans,Markwayne Mullin,34,-5.4,3435000.0,0.38
2024-Q4,Republicans,Michael Patrick Guest,3,-10.76,45000.0,-0.06
2024-Q4,Republicans,Mike Kelly,2,5.26,65000.0,0.02
2024-Q4,Republicans,Pete Sessions,2,-15.27,30000.0,-0.05
2024-Q4,Republicans,Richard W. Allen,1,9.33,50000.0,0.06
2024-Q4,Republicans,Robert E. Latta,1,-11.62,15000.0,-0.02
2024-Q4,Republicans,Shelley Moore Capito,6,-4.45,90000.0,-0.05
2024-Q4,Republicans,Thomas H. Kean Jr,7,3.54,105000.0,0.04
2024-Q4,Republicans,Thomas H. Kean Jr.,2,13.16,30000.0,0.05
2024-Q4,Republicans,Tommy Tuberville,10,-1.86,465000.0,-0.12
2024-Q4,Republicans,Virginia Foxx,17,3.5,600000.0,0.05
2025-Q1,Democrats,April Mcclain Delaney,37,-0.81,695000.0,-0.01
