Quarter,Representative,PartyName,Party,Ticker,Transaction,StandardizedTransaction,TradeAmount_UpperRange_$,Range,Date,TransactionDate,PriceChange,SPYChange,BioGuideID,ReportDate,House,Amount,last_modified,TickerType,Description,ExcessReturn
2025-Q1,April Mcclain Delaney,Democrats,D,LH,Purchase,Purchase,15000.0,"$1,001 - $15,000",2025-02-28,2025-02-28,-6.70411089866156,-4.77184119488222,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,-1.93226970377934
2025-Q1,April Mcclain Delaney,Democrats,D,RVTY,Sale,Sale,50000.0,"$15,001 - $50,000",2025-02-28,2025-02-28,-4.33348194382523,-4.77184119488222,M001232,2025-03-20,Representatives,15001.0,2025-03-21,ST,,0.43835925105699
2025-Q1,April Mcclain Delaney,Democrats,D,TPX,Sale,Sale,15000.0,"$1,001 - $15,000",2025-02-28,2025-02-28,,,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,
2025-Q1,April Mcclain Delaney,Democrats,D,CPAY,Purchase,Purchase,50000.0,"$15,001 - $50,000",2025-02-28,2025-02-28,-5.54692821141534,-4.77184119488222,M001232,2025-03-20,Representatives,15001.0,2025-03-21,ST,,-0.775087016533118
2025-Q1,April Mcclain Delaney,Democrats,D,LH,Purchase,Purchase,15000.0,"$1,001 - $15,000",2025-02-27,2025-02-27,-5.48044715283102,-3.29200513039761,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,-2.18844202243341
2025-Q1,April Mcclain Delaney,Democrats,D,PAYX,Purchase,Purchase,15000.0,"$1,001 - $15,000",2025-02-27,2025-02-27,-3.8585641301425,-3.29200513039761,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,-0.566558999744887
2025-Q1,April Mcclain Delaney,Democrats,D,CACI,Purchase,Purchase,15000.0,"$1,001 - $15,000",2025-02-27,2025-02-27,9.08440842594524,-3.29200513039761,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,12.3764135563429
2025-Q1,April Mcclain Delaney,Democrats,D,TPX,Sale,Sale,15000.0,"$1,001 - $15,000",2025-02-22,2025-02-22,,,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,
2025-Q1,April Mcclain Delaney,Democrats,D,TDY,Sale,Sale,50000.0,"$15,001 - $50,000",2025-02-22,2025-02-22,1.16726810878375,-5.25913246166733,M001232,2025-03-20,Representatives,15001.0,2025-03-21,ST,,6.42640057045108
2025-Q1,April Mcclain Delaney,Democrats,D,CACI,Sale,Sale,15000.0,"$1,001 - $15,000",2025-02-22,2025-02-22,11.9051257755907,-5.25913246166733,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,17.164258237258
2025-Q1,April Mcclain Delaney,Democrats,D,CPAY,Purchase,Purchase,15000.0,"$1,001 - $15,000",2025-02-22,2025-02-22,-4.02513633972816,-5.25913246166733,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,1.23399612193918
2025-Q1,April Mcclain Delaney,Democrats,D,PAYX,Purchase,Purchase,15000.0,"$1,001 - $15,000",2025-02-21,2025-02-21,-3.6967207595448,-5.70729497054826,M001232,2025-03-20,Representatives,1001.0,2025-03-21,ST,,2.01057421100346
