Ticker,AdjustedReturn,TradeAmount,Transaction,TransactionDate,PercentChange,Quarter,Representative,ProfitLoss
ABT,-14.508106104921875,50000.0,['Sale (Partial)'],[Timestamp('2024-12-11 00:00:00')],[14.508106104921875],2024-Q4,Markwayne Mullin,-7254.053052460938
AMAT,-12.790812677423435,50000.0,['Purchase'],[Timestamp('2024-12-11 00:00:00')],[-12.790812677423435],2024-Q4,Markwayne Mullin,-6395.406338711718
AXON,13.555726151638542,100000.0,"['Sale (Full)', 'Sale (Full)']","[Timestamp('2024-12-18 00:00:00'), Timestamp('2024-12-18 00:00:00')]","[-13.55572615163854, -13.55572615163854]",2024-Q4,Markwayne Mullin,13555.72615163854
BMI,15.465552114173336,65000.0,"['Sale (Full)', 'Sale (Full)']","[Timestamp('2024-12-18 00:00:00'), Timestamp('2024-12-18 00:00:00')]","[-15.465552114173336, -15.465552114173336]",2024-Q4,Markwayne Mullin,10052.608874212669
CFSSX,-9.411764045900108,250000.0,['Purchase'],[Timestamp('2024-12-26 00:00:00')],[-9.411764045900108],2024-Q4,Markwayne Mullin,-23529.41011475027
CYBR,-7.066424688930227,65000.0,"['Sale (Full)', 'Sale (Full)']","[Timestamp('2024-12-18 00:00:00'), Timestamp('2024-12-18 00:00:00')]","[7.066424688930227, 7.066424688930227]",2024-Q4,Markwayne Mullin,-4593.176047804648
ELF,51.772627216525166,30000.0,"['Sale (Full)', 'Sale (Full)']","[Timestamp('2024-12-18 00:00:00'), Timestamp('2024-12-18 00:00:00')]","[-51.772627216525166, -51.772627216525166]",2024-Q4,Markwayne Mullin,15531.78816495755
ETN,19.51002760398012,65000.0,"['Sale (Full)', 'Sale (Full)']","[Timestamp('2024-12-18 00:00:00'), Timestamp('2024-12-18 00:00:00')]","[-19.51002760398012, -19.51002760398012]",2024-Q4,Markwayne Mullin,12681.51794258708
EZU,15.849817205506806,250000.0,['Purchase'],[Timestamp('2024-11-27 00:00:00')],[15.849817205506806],2024-Q4,Markwayne Mullin,39624.54301376701
FRPT,40.76023860334775,100000.0,"['Sale (Full)', 'Sale (Full)']","[Timestamp('2024-12-18 00:00:00'), Timestamp('2024-12-18 00:00:00')]","[-40.76023860334775, -40.76023860334775]",2024-Q4,Markwayne Mullin,40760.23860334775
