Quarter,PartyName,StandardizedTransaction,Ticker,TotalValue,UniquePoliticians,TransactionCount,CategoryTotal,Percentage
2024-Q4,Democrats,Purchase,TCMD,100000.0,1,1,165000.0,60.60606060606061
2024-Q4,Democrats,Purchase,LLY,50000.0,1,1,165000.0,30.303030303030305
2024-Q4,Democrats,Purchase,KO,15000.0,1,1,165000.0,9.090909090909092
2024-Q4,Democrats,Sale,TSLA,350000.0,1,3,675000.0,51.85185185185185
2024-Q4,Democrats,Sale,AAPL,50000.0,1,1,675000.0,7.4074074074074066
2024-Q4,Democrats,Sale,LRCX,50000.0,1,1,675000.0,7.4074074074074066
2024-Q4,Democrats,Sale,MA,30000.0,1,2,675000.0,4.444444444444445
2024-Q4,Democrats,Sale,SBUX,30000.0,1,2,675000.0,4.444444444444445
2024-Q4,Democrats,Sale,VZ,30000.0,1,2,675000.0,4.444444444444445
2024-Q4,Democrats,Sale,AY,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,CELH,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,DIS,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,HON,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,IVZ,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,KVUE,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,LEG,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,LW,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Democrats,Sale,MET,15000.0,1,1,675000.0,2.2222222222222223
2024-Q4,Republicans,Purchase,HIYS,500000.0,1,1,2135000.0,23.4192037470726
2024-Q4,Republicans,Purchase,PCLPX,500000.0,1,1,2135000.0,23.4192037470726
2024-Q4,Republicans,Purchase,CFSSX,250000.0,1,1,2135000.0,11.7096018735363
2024-Q4,Republicans,Purchase,EZU,250000.0,1,1,2135000.0,11.7096018735363
2024-Q4,Republicans,Purchase,IEFA,250000.0,1,1,2135000.0,11.7096018735363
2024-Q4,Republicans,Purchase,IEMG,115000.0,1,2,2135000.0,5.386416861826698
2024-Q4,Republicans,Purchase,GICIX,100000.0,1,1,2135000.0,4.683840749414521
2024-Q4,Republicans,Purchase,AMAT,50000.0,1,1,2135000.0,2.3419203747072603
2024-Q4,Republicans,Purchase,AAXJ,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,AVGO,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,BRK.B,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,CSL,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,GE,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,SPY,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,VNQ,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Purchase,WFC,15000.0,1,1,2135000.0,0.702576112412178
2024-Q4,Republicans,Sale,PDBC,500000.0,1,1,2020000.0,24.752475247524753
2024-Q4,Republicans,Sale,AXON,100000.0,1,2,2020000.0,4.9504950495049505
2024-Q4,Republicans,Sale,FRPT,100000.0,1,2,2020000.0,4.9504950495049505
2024-Q4,Republicans,Sale,OLLI,100000.0,1,2,2020000.0,4.9504950495049505
2024-Q4,Republicans,Sale,SFM,100000.0,1,2,2020000.0,4.9504950495049505
2024-Q4,Republicans,Sale,BMI,65000.0,1,2,2020000.0,3.217821782178218
2024-Q4,Republicans,Sale,CYBR,65000.0,1,2,2020000.0,3.217821782178218
2024-Q4,Republicans,Sale,ETN,65000.0,1,2,2020000.0,3.217821782178218
2024-Q4,Republicans,Sale,GS,65000.0,1,2,2020000.0,3.217821782178218
2024-Q4,Republicans,Sale,LRN,65000.0,1,2,2020000.0,3.217821782178218
2024-Q4,Republicans,Sale,MSFT,65000.0,2,2,2020000.0,3.217821782178218
2024-Q4,Republicans,Sale,AAPL,50000.0,1,1,2020000.0,2.4752475247524752
2024-Q4,Republicans,Sale,ABT,50000.0,1,1,2020000.0,2.4752475247524752
2024-Q4,Republicans,Sale,ADBE,50000.0,1,1,2020000.0,2.4752475247524752
2024-Q4,Republicans,Sale,HON,50000.0,1,1,2020000.0,2.4752475247524752
2024-Q4,Republicans,Sale,JNJ,50000.0,1,1,2020000.0,2.4752475247524752
2024-Q4,Republicans,Sale,KMB,50000.0,1,1,2020000.0,2.4752475247524752
