Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Democrats,Gilbert Cisneros,HLMN,purchase,"$15,000.00",15000.0,-7.676560541038839,2025-03-03
2025-Q1,Democrats,Gilbert Cisneros,STRL,purchase,"$15,000.00",15000.0,-9.400650028670784,2025-03-03
2025-Q1,Democrats,April Mcclain Delaney,LH,purchase,"$15,000.00",15000.0,-7.045699899537987,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,CPAY,purchase,"$50,000.00",50000.0,-2.721946065164449,2025-02-28
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,-1.3673158975928787,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,PAYX,purchase,"$15,000.00",15000.0,1.6605260302568443,2025-02-27
2025-Q1,Democrats,April Mcclain Delaney,LH,purchase,"$15,000.00",15000.0,-7.320879690519505,2025-02-27
2025-Q1,Democrats,April Mcclain Delaney,CACI,purchase,"$15,000.00",15000.0,14.435717381365889,2025-02-27
2025-Q1,Democrats,Gilbert Cisneros,UBER,purchase,"$15,000.00",15000.0,-0.6239230177601929,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,DG,purchase,"$15,000.00",15000.0,12.001019465106843,2025-02-26
2025-Q1,Democrats,Greg Landsman,AMP,purchase,"$15,000.00",15000.0,-5.206748708755687,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,EPAC,purchase,"$15,000.00",15000.0,-0.1727818956277389,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,FI,purchase,"$15,000.00",15000.0,-5.485123568559077,2025-02-26
2025-Q1,Democrats,Greg Landsman,CRWD,purchase,"$15,000.00",15000.0,-4.712886939549192,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,HUM,purchase,"$15,000.00",15000.0,4.93673874094324,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,WYNN,purchase,"$15,000.00",15000.0,-6.185342689664351,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,TSLA,purchase,"$15,000.00",15000.0,-10.068811508556747,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,MRK,purchase,"$50,000.00",50000.0,-3.2236798516122565,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,MSFT,purchase,"$50,000.00",50000.0,-1.8667930481785295,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,PFE,purchase,"$15,000.00",15000.0,-6.259370529204881,2025-02-26
2025-Q1,Democrats,Julie Johnson,UNP,purchase,"$15,000.00",15000.0,-2.3149009575429758,2025-02-25
2025-Q1,Democrats,Gilbert Cisneros,WTW,purchase,"$15,000.00",15000.0,4.95720369604913,2025-02-24
2025-Q1,Democrats,Julie Johnson,GS,purchase,"$15,000.00",15000.0,-11.3366084112388,2025-02-24
2025-Q1,Democrats,Julie Johnson,BK,purchase,"$15,000.00",15000.0,-3.4293551496099965,2025-02-24
2025-Q1,Democrats,Julie Johnson,PGR,purchase,"$15,000.00",15000.0,3.0734021704263745,2025-02-24
2025-Q1,Democrats,Julie Johnson,COF,purchase,"$15,000.00",15000.0,-11.504646536677033,2025-02-24
