Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Republicans,Marjorie Taylor Greene,ABBV,purchase,"$15,000.00",15000.0,-4.476486639032791,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,CAH,purchase,"$15,000.00",15000.0,7.100868264468463,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,DLR,purchase,"$15,000.00",15000.0,-2.1005002442478093,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,UPS,purchase,"$15,000.00",15000.0,-5.119656293820112,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,GOOG,purchase,"$15,000.00",15000.0,-1.9393367257560796,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,NVDA,purchase,"$15,000.00",15000.0,-9.214598138698715,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,AMAT,purchase,"$15,000.00",15000.0,-3.4455733099780907,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,BX,purchase,"$15,000.00",15000.0,2.395128259468624,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,CAT,purchase,"$15,000.00",15000.0,-0.1295115247112085,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,AAPL,purchase,"$15,000.00",15000.0,4.941169502393651,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,KMI,purchase,"$15,000.00",15000.0,4.4008823462193165,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,GS,purchase,"$15,000.00",15000.0,-1.6280339120735787,2025-03-07
2025-Q1,Republicans,Marjorie Taylor Greene,CRWD,purchase,"$15,000.00",15000.0,6.384954770107582,2025-03-07
2025-Q1,Republicans,Rob Bresnahan,INTU,purchase,"$15,000.00",15000.0,1.558116176946147,2025-03-07
2025-Q1,Republicans,Marjorie Taylor Greene,DG,purchase,"$15,000.00",15000.0,15.839620575680572,2025-03-07
2025-Q1,Republicans,Marjorie Taylor Greene,TSLA,purchase,"$15,000.00",15000.0,5.325465513090007,2025-03-07
2025-Q1,Republicans,Rob Bresnahan,SE,purchase,"$15,000.00",15000.0,-1.5333480765600918,2025-03-05
2025-Q1,Republicans,Rob Bresnahan,ZM,purchase,"$15,000.00",15000.0,3.812871457182395,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,TWLO,purchase,"$15,000.00",15000.0,-10.692046498552315,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,META,purchase,"$15,000.00",15000.0,-6.567500137641861,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,SNOW,purchase,"$15,000.00",15000.0,-12.15444968753637,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,BABA,purchase,"$15,000.00",15000.0,1.2088728023146995,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,INTC,purchase,"$15,000.00",15000.0,-5.519996643066406,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,TTWO,purchase,"$15,000.00",15000.0,0.6576137444211239,2025-03-03
2025-Q1,Republicans,Marjorie Taylor Greene,IBIT,purchase,"$50,000.00",50000.0,-6.664154262119315,2025-03-03
2025-Q1,Republicans,Marjorie Taylor Greene,DG,purchase,"$15,000.00",15000.0,18.98871996554588,2025-03-03
2025-Q1,Republicans,Marjorie Taylor Greene,PI,purchase,"$15,000.00",15000.0,-4.396166749522014,2025-03-03
2025-Q1,Republicans,A. Mitchell Jr. McConnell,WFC,purchase,"$15,000.00",15000.0,-8.343902840638531,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,INTC,purchase,"$15,000.00",15000.0,1.5914014590683805,2025-02-26
2025-Q1,Republicans,David H. McCormick,BITB,purchase,"$50,000.00",50000.0,1.543080203724129,2025-02-26
2025-Q1,Republicans,Scott Scott Franklin,AMZN,purchase,"$100,000.00",100000.0,-6.318043024474547,2025-02-26
2025-Q1,Republicans,John Boozman,ECL,purchase,"$15,000.00",15000.0,-4.625498646591198,2025-02-26
2025-Q1,Republicans,John Boozman,LITP,purchase,"$15,000.00",15000.0,-1.406252363230998,2025-02-26
2025-Q1,Republicans,John Boozman,TBLL,purchase,"$15,000.00",15000.0,0.3547134447412826,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,SNOW,purchase,"$15,000.00",15000.0,-5.433737513530685,2025-02-26
2025-Q1,Republicans,John Boozman,AXP,purchase,"$15,000.00",15000.0,-7.833578805742607,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,NVDA,purchase,"$15,000.00",15000.0,-14.270142889057944,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,TTD,purchase,"$15,000.00",15000.0,-23.7143615987536,2025-02-26
2025-Q1,Republicans,Scott Scott Franklin,AMZN,purchase,"$15,000.00",15000.0,-6.318043024474547,2025-02-26
2025-Q1,Republicans,Scott Scott Franklin,AMZN,purchase,"$15,000.00",15000.0,-6.318043024474547,2025-02-26
2025-Q1,Republicans,Thomas H. Kean Jr,AMZN,purchase,"$15,000.00",15000.0,-6.318043024474547,2025-02-26
2025-Q1,Republicans,John Boozman,NVDA,purchase,"$15,000.00",15000.0,-14.270142889057944,2025-02-26
2025-Q1,Republicans,John Boozman,AMZN,purchase,"$15,000.00",15000.0,-6.318043024474547,2025-02-26
2025-Q1,Republicans,John Boozman,MSI,purchase,"$15,000.00",15000.0,2.0363710080718143,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,PLTR,purchase,"$15,000.00",15000.0,-0.6177663304599174,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,MRNA,purchase,"$15,000.00",15000.0,-5.473809992373973,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,PWR,purchase,"$15,000.00",15000.0,-1.7689892150524216,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,WY,purchase,"$15,000.00",15000.0,-1.1706061807472556,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,LH,purchase,"$15,000.00",15000.0,-7.547303643291156,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,GEHC,purchase,"$15,000.00",15000.0,-10.352391102093682,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,INTU,purchase,"$15,000.00",15000.0,8.459218141915157,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,VTRS,purchase,"$15,000.00",15000.0,-21.133819435548265,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,KHC,purchase,"$15,000.00",15000.0,-3.3031520860262837,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,HSY,purchase,"$15,000.00",15000.0,-4.059829829834983,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,WST,purchase,"$15,000.00",15000.0,3.087238122912128,2025-02-25
2025-Q1,Republicans,John Boozman,URNM,purchase,"$15,000.00",15000.0,-6.821354753937099,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ALGN,purchase,"$15,000.00",15000.0,-13.984296708830987,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,BIIB,purchase,"$15,000.00",15000.0,0.235715593610491,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,DE,purchase,"$50,000.00",50000.0,-1.430096071303832,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,LULU,purchase,"$15,000.00",15000.0,-6.790208955581894,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,OXY,purchase,"$50,000.00",50000.0,-0.0947323757632157,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ROK,purchase,"$15,000.00",15000.0,-7.806593404748119,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,SMCI,purchase,"$15,000.00",15000.0,-30.72625307137556,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,TECH,purchase,"$15,000.00",15000.0,-9.194177807890634,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,DG,purchase,"$15,000.00",15000.0,11.020929118037138,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,HAL,purchase,"$15,000.00",15000.0,-4.599474370053228,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,MDLZ,purchase,"$15,000.00",15000.0,3.4958582284925246,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,WAT,purchase,"$15,000.00",15000.0,-2.4223944811710507,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,BABA,purchase,"$15,000.00",15000.0,2.138724105934772,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,TWLO,purchase,"$15,000.00",15000.0,-12.600858631052173,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ABNB,purchase,"$15,000.00",15000.0,-13.216149222806663,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,INTU,purchase,"$15,000.00",15000.0,8.459218141915157,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,KDP,purchase,"$15,000.00",15000.0,-1.890034026402251,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,MDT,purchase,"$15,000.00",15000.0,-1.527221385675685,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,RVTY,purchase,"$15,000.00",15000.0,-6.871426038131482,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ABBV,purchase,"$15,000.00",15000.0,-1.198943144015666,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,BA,purchase,"$50,000.00",50000.0,-0.7425859576351067,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,DXCM,purchase,"$15,000.00",15000.0,-23.41527734333899,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,EMR,purchase,"$15,000.00",15000.0,-6.1856527279986455,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ZM,purchase,"$15,000.00",15000.0,-1.1395121686704737,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,CPB,purchase,"$15,000.00",15000.0,-4.164642706488043,2025-02-25
