Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Republicans,Rob Bresnahan,TSLA,sale,"$15,000.00",15000.0,-0.3932982922225829,2025-03-06
2025-Q1,Republicans,Rob Bresnahan,BABA,sale,"$50,000.00",50000.0,-4.652776616754573,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,CRDO,sale,"$15,000.00",15000.0,13.425827875342758,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,TSM,sale,"$15,000.00",15000.0,6.764831270960057,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,NVDA,sale,"$15,000.00",15000.0,9.772287385926278,2025-03-03
2025-Q1,Republicans,Mark Dr Green,NGL,sale,"$50,000.00",50000.0,-2.2075033112812825,2025-02-28
2025-Q1,Republicans,Rob Bresnahan,ORCL,sale,"$15,000.00",15000.0,15.734104751851518,2025-02-27
2025-Q1,Republicans,Rob Bresnahan,ALAB,sale,"$15,000.00",15000.0,26.14678499796433,2025-02-27
2025-Q1,Republicans,Rob Bresnahan,TSLA,sale,"$15,000.00",15000.0,6.192470996195156,2025-02-27
2025-Q1,Republicans,John Boozman,FTGC,sale,"$15,000.00",15000.0,1.5234561693796045,2025-02-26
2025-Q1,Republicans,Thomas H. Kean Jr,SYK,sale,"$50,000.00",50000.0,6.132034222088165,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,PLTR,sale,"$15,000.00",15000.0,-1.043060383112649,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,APP,sale,"$15,000.00",15000.0,20.327575962959333,2025-02-26
2025-Q1,Republicans,John Boozman,EMLP,sale,"$15,000.00",15000.0,1.2945983938587833,2025-02-26
2025-Q1,Republicans,John Boozman,IVW,sale,"$15,000.00",15000.0,-6.885177525632985,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,CAG,sale,"$15,000.00",15000.0,-2.280627081946168,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ZTS,sale,"$15,000.00",15000.0,0.5304337892697689,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,MSFT,sale,"$15,000.00",15000.0,2.622792164339933,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,AOS,sale,"$15,000.00",15000.0,-0.5561442257190758,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,CAT,sale,"$15,000.00",15000.0,0.4985373041147361,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ON,sale,"$15,000.00",15000.0,18.403883181069087,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ODFL,sale,"$15,000.00",15000.0,5.648388589928563,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,TMO,sale,"$15,000.00",15000.0,4.2404115214532005,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,UPS,sale,"$15,000.00",15000.0,4.679715774588927,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,CI,sale,"$15,000.00",15000.0,-7.9830028628492435,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,UBER,sale,"$15,000.00",15000.0,1.9643792404536151,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,LIN,sale,"$15,000.00",15000.0,-1.521966633051403,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,CMCSA,sale,"$15,000.00",15000.0,-2.524000410668636,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,COP,sale,"$15,000.00",15000.0,-3.565673810489157,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,DHI,sale,"$15,000.00",15000.0,-1.887682068358946,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,PLTR,sale,"$15,000.00",15000.0,0.6177663304599174,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,REGN,sale,"$15,000.00",15000.0,11.690275404188368,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,GWW,sale,"$15,000.00",15000.0,0.9024010931838244,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,IR,sale,"$15,000.00",15000.0,1.7637433815225174,2025-02-25
2025-Q1,Republicans,Rob Bresnahan,ACGL,sale,"$15,000.00",15000.0,-7.711113823784722,2025-02-25
