Representative,Ticker,TransactionDate,Transaction,Quarter,EntryPrice,ExitPrice,PercentChange,Range
Marjorie Taylor Greene,ABBV,2025-03-17,Purchase,2025-Q1,212.22000122070312,202.72000122070312,-4.476486639032791,"$1,001 - $15,000"
Marjorie Taylor Greene,CAH,2025-03-17,Purchase,2025-Q1,127.58999633789062,136.64999389648438,7.100868264468463,"$1,001 - $15,000"
Marjorie Taylor Greene,DLR,2025-03-17,Purchase,2025-Q1,148.05999755859375,144.9499969482422,-2.1005002442478093,"$1,001 - $15,000"
Marjorie Taylor Greene,UPS,2025-03-17,Purchase,2025-Q1,117.0,111.01000213623047,-5.119656293820112,"$1,001 - $15,000"
Marjorie Taylor Greene,GOOG,2025-03-17,Purchase,2025-Q1,167.3249969482422,164.0800018310547,-1.9393367257560794,"$1,001 - $15,000"
Marjorie Taylor Greene,NVDA,2025-03-17,Purchase,2025-Q1,122.73999786376953,111.43000030517578,-9.214598138698715,"$1,001 - $15,000"
Marjorie Taylor Greene,AMAT,2025-03-17,Purchase,2025-Q1,152.9499969482422,147.67999267578125,-3.4455733099780907,"$1,001 - $15,000"
Marjorie Taylor Greene,BX,2025-03-17,Purchase,2025-Q1,141.1199951171875,144.5,2.395128259468624,"$1,001 - $15,000"
Marjorie Taylor Greene,CAT,2025-03-17,Purchase,2025-Q1,339.739990234375,339.29998779296875,-0.12951152471120853,"$1,001 - $15,000"
Marjorie Taylor Greene,AAPL,2025-03-17,Purchase,2025-Q1,213.30999755859375,223.85000610351562,4.941169502393651,"$1,001 - $15,000"
Marjorie Taylor Greene,KMI,2025-03-17,Purchase,2025-Q1,27.040000915527344,28.229999542236328,4.4008823462193165,"$1,001 - $15,000"
Susie Lee,FLL,2025-03-12,Sale,2025-Q1,4.260000228881836,4.230000019073486,0.7042302393543312,"$15,001 - $50,000"
Marjorie Taylor Greene,GS,2025-03-07,Purchase,2025-Q1,568.1699829101562,558.9199829101562,-1.6280339120735787,"$1,001 - $15,000"
Marjorie Taylor Greene,CRWD,2025-03-07,Purchase,2025-Q1,344.55999755859375,366.55999755859375,6.384954770107582,"$1,001 - $15,000"
Rob Bresnahan,INTU,2025-03-07,Purchase,2025-Q1,605.8599853515625,615.2999877929688,1.5581161769461467,"$1,001 - $15,000"
Marjorie Taylor Greene,DG,2025-03-07,Purchase,2025-Q1,75.56999969482422,87.54000091552734,15.839620575680573,"$1,001 - $15,000"
Mikie Sherrill,UBS,2025-03-07,Sale,2025-Q1,33.689998626708984,31.90999984741211,5.283463496153768,"$250,001 - $500,000"
Marjorie Taylor Greene,TSLA,2025-03-07,Purchase,2025-Q1,259.32000732421875,273.1300048828125,5.325465513090007,"$1,001 - $15,000"
Rob Bresnahan,TSLA,2025-03-06,Sale,2025-Q1,272.05999755859375,273.1300048828125,-0.39329829222258295,"$1,001 - $15,000"
Rob Bresnahan,SE,2025-03-05,Purchase,2025-Q1,135.64999389648438,133.57000732421875,-1.5333480765600918,"$1,001 - $15,000"
Rob Bresnahan,ZM,2025-03-04,Purchase,2025-Q1,73.95999908447266,76.77999877929688,3.812871457182395,"$1,001 - $15,000"
Rob Bresnahan,BABA,2025-03-04,Sale,2025-Q1,129.60000610351562,135.6300048828125,-4.652776616754573,"$15,001 - $50,000"
Rob Bresnahan,CRDO,2025-03-04,Sale,2025-Q1,49.0099983215332,42.43000030517578,13.425827875342758,"$1,001 - $15,000"
Rob Bresnahan,TWLO,2025-03-04,Purchase,2025-Q1,114.01000213623047,101.81999969482422,-10.692046498552315,"$1,001 - $15,000"
Rob Bresnahan,META,2025-03-04,Purchase,2025-Q1,644.9362031172728,602.5800170898438,-6.567500137641861,"$1,001 - $15,000"
Rob Bresnahan,TSM,2025-03-03,Sale,2025-Q1,180.446936265116,168.24000549316406,6.764831270960057,"$1,001 - $15,000"
Gilbert Cisneros,HLMN,2025-03-03,Purchase,2025-Q1,9.770000457763672,9.020000457763672,-7.676560541038839,"$1,001 - $15,000"
William R. Keating,BJ,2025-03-03,Sale,2025-Q1,101.70999908447266,112.4800033569336,-10.588933604764055,"$1,001 - $15,000"
Rob Bresnahan,SNOW,2025-03-03,Purchase,2025-Q1,178.6999969482422,156.97999572753906,-12.15444968753637,"$1,001 - $15,000"
Rob Bresnahan,BABA,2025-03-03,Purchase,2025-Q1,134.00999450683594,135.6300048828125,1.2088728023146995,"$1,001 - $15,000"
Rob Bresnahan,NVDA,2025-03-03,Sale,2025-Q1,123.49864257535764,111.43000030517578,9.772287385926278,"$1,001 - $15,000"
Rob Bresnahan,INTC,2025-03-03,Purchase,2025-Q1,25.0,23.6200008392334,-5.519996643066406,"$1,001 - $15,000"
Rob Bresnahan,TTWO,2025-03-03,Purchase,2025-Q1,212.88999938964844,214.2899932861328,0.6576137444211239,"$1,001 - $15,000"
Marjorie Taylor Greene,IBIT,2025-03-03,Purchase,2025-Q1,52.970001220703125,49.439998626708984,-6.664154262119315,"$15,001 - $50,000"
Gilbert Cisneros,STRL,2025-03-03,Purchase,2025-Q1,129.13999938964844,117.0,-9.400650028670784,"$1,001 - $15,000"
Marjorie Taylor Greene,DG,2025-03-03,Purchase,2025-Q1,73.56999969482422,87.54000091552734,18.988719965545876,"$1,001 - $15,000"
Marjorie Taylor Greene,PI,2025-03-03,Purchase,2025-Q1,97.12999725341797,92.86000061035156,-4.396166749522014,"$1,001 - $15,000"
A. Mitchell Jr. McConnell,WFC,2025-03-03,Purchase,2025-Q1,78.86000061035156,72.27999877929688,-8.343902840638531,"$1,001 - $15,000"
Mark Dr Green,NGL,2025-02-28,Sale,2025-Q1,4.53000020980835,4.630000114440918,-2.2075033112812825,"$15,001 - $50,000"
Josh Gottheimer,GS,2025-02-28,Sale,2025-Q1,607.7899780273438,558.9199829101562,8.040605617716997,"$1,001 - $15,000"
April Mcclain Delaney,RVTY,2025-02-28,Sale,2025-Q1,111.06999969482422,107.33999633789062,3.3582455813290233,"$15,001 - $50,000"
April Mcclain Delaney,TPX,2025-02-28,Sale,2025-Q1,63.237105628586434,58.5,7.491022211562159,"$1,001 - $15,000"
April Mcclain Delaney,LH,2025-02-28,Purchase,2025-Q1,249.22999572753906,231.6699981689453,-7.045699899537987,"$1,001 - $15,000"
April Mcclain Delaney,CPAY,2025-02-28,Purchase,2025-Q1,365.17999267578125,355.239990234375,-2.721946065164449,"$15,001 - $50,000"
Josh Gottheimer,V,2025-02-28,Purchase,2025-Q1,354.7099914550781,349.8599853515625,-1.3673158975928787,"$1,001 - $15,000"
Josh Gottheimer,XYZ,2025-02-27,Sale,2025-Q1,65.01000213623047,56.9900016784668,12.336563904362768,"$1,001 - $15,000"
Josh Gottheimer,FNA,2025-02-27,Sale,2025-Q1,13.020000457763672,13.010000228881836,0.07680667073919278,"$1,001 - $15,000"
April Mcclain Delaney,PAYX,2025-02-27,Purchase,2025-Q1,149.35000610351562,151.8300018310547,1.6605260302568443,"$1,001 - $15,000"
